name,role,sentence,true_role
Graham Cluley,Author,"Spammers will deliberately misspell a word or use digits instead of letters in an attempt to by-pass anti-spam software, said Graham Cluley, senior technology consultant for security firm Sophos.",unknown
Cluley,Author,"""The list of words most commonly hidden by the spammers from anti-spam software reveals that most spam is about the old favourites: money, drugs and sex,"" said Mr Cluley.",unknown
Longhorn,Author,"Microsoft is developing a new version of Internet Explorer browser and its operating system, Windows, which has been code-named Longhorn.",unknown
Michael Stephenson,Author,"Michael Stephenson, director in Microsoft's Windows Server division, would not confirm however whether the new info cards ID system will be built into the current Windows XP version or Longhorn.

",unknown
Stephenson,Author,"""We're trying to make the end-user experience as simple as possible,"" Mr Stephenson said.",unknown
Stephenson,Author,"""It's going to put control of digital IDs into the hands of an end-user, the end-user will be in full control,"" said Mr Stephenson.

",unknown
Matt Dawson,Business Executive,"Dawson set for new Wasps contract

European champions Wasps are set to offer Matt Dawson a new deal.

",unknown
Warren Gatland,Author,"Wasps coach Warren Gatland told the Daily Mirror: ""We have not yet offered Matt a new contract but we will be doing so.",unknown
Matt,Author,"Wasps coach Warren Gatland told the Daily Mirror: ""We have not yet offered Matt a new contract but we will be doing so.",unknown
Andy Robinson,Author,Dawson played a vital part in England's World Cup win last year but has fallen out of favour with new coach Andy Robinson after missing a training session in September.,unknown
Jo Pavey,Author,"Pavey focuses on indoor success

Jo Pavey will miss January's View From Great Edinburgh International Cross Country to focus on preparing for the European Indoor Championships in March.

",unknown
Hayley Yelling,Author,The 31-year-old was third behind Hayley Yelling and Justyna Bak in last week's European Cross Country Championships but she prefers to race on the track.,unknown
Justyna Bak,Author,The 31-year-old was third behind Hayley Yelling and Justyna Bak in last week's European Cross Country Championships but she prefers to race on the track.,unknown
Jennifer Lopez,Author,"Lopez misses UK charity premiere

Jennifer Lopez cancelled an appearance at the UK charity premiere of her new movie saying she was too ill to fly.

",unknown
Richard Gere,Film Actor,Co-star Richard Gere attended the event held in aid of the tsunami appeal.,unknown
Peter Chelsom,Film Actor,"The film's director Peter Chelsom said he was disappointed that Lopez did not attend.

",unknown
Carey Lowell,Film Actor,"Gere, 55, greeted the crowd and signed autographs, accompanied by his wife Carey Lowell.",unknown
Honor Blackman,TV Personality,"Other stars who turned out on the night included Honor Blackman, Strictly Come Dancing presenter Tess Daly and actress Anita Dobson.",unknown
Anita Dobson,TV Personality,"Other stars who turned out on the night included Honor Blackman, Strictly Come Dancing presenter Tess Daly and actress Anita Dobson.",unknown
Marc Anthony,Musician,"Lopez appeared at the Grammy awards on Sunday, singing a duet with her third husband Marc Anthony.",unknown
Borussia Dortmund,Author,"Rescue hope for Borussia Dortmund

Shares in struggling German football club Borussia Dortmund slipped on Monday despite the club agreeing a rescue plan with creditors on Friday.

",unknown
Molsiris,Author,"On 14 March, one of these creditors - property investment fund Molsiris which owns the club's stadium - holds its AGM at which it will discuss the rescue plan.",unknown
Gerd Niebaum,Author,Chief executive Gerd Niebaum stepped down last week and creditors have been pushing for a greater say in how the club is run.,unknown
Borussia Dortmund,Author,"Adding to its woes, Borussia Dortmund was beaten 5-0 by Bayern Munich on Saturday.",unknown
Will Smith,Film Actor,"Will Smith co-stars alongside more CGI robots than you can count and as a thrill-a-minute kind of action film, it's perfectly adequate.",unknown
Arthur,Author,"They're covered but there's also a general Production Diary and a Post-Production feature.

Remember the National Lottery's draw machines Arthur and Guinevere?",unknown
Guinevere,Author,"They're covered but there's also a general Production Diary and a Post-Production feature.

Remember the National Lottery's draw machines Arthur and Guinevere?",unknown
Arthur,Film Actor,"But as long as you're not expecting a documentary, live with it: King Arthur is a fun, exciting, totally shallow experience and looks excellent.",unknown
Clive Owen,Film Actor,"Clive Owen is the brooding king, Keira Knightly rises above her costume and Ray Winstone gives it all some grit.",unknown
Keira Knightly,Film Actor,"Clive Owen is the brooding king, Keira Knightly rises above her costume and Ray Winstone gives it all some grit.",unknown
Ray Winstone,Film Actor,"Clive Owen is the brooding king, Keira Knightly rises above her costume and Ray Winstone gives it all some grit.",unknown
Alan Titchmarsh,Author,"Admit it, the fact that this is one of the shows Alan Titchmarsh left Ground Force to present did mean that you expected something equally frothy.",unknown
Kbps,Author,"Early HSDPA systems typically offer around two megabits per second (Mbps) compared with less than 384 kilobits per second (Kbps) on standard 3G networks.

",unknown
Dr Alastair,Author,"""While HSDPA theoretically enables data rates up to a maximum of 14Mbps, practical throughputs will be lower than this in wide-area networks,"" said Dr Alastair Brydon, author of the Analysys report: Pushing Beyond the Limits of 3G with HSDPA and Other Enhancements.",Author
Oliver Valente,Author,"We are ""expanding our network and deploying EV-DO technology to meet customer demand for faster wireless speeds,"" said Oliver Valente, Sprint's vice president for technology development, when the contract was announced.",unknown
Cingular Wireless,Author,"US operator Cingular Wireless is also adopting HSDPA, using technology from Lucent alongside equipment from Siemens and Ericsson.

",unknown
Christoph Caselitz,Author,"Siemens' plans for a one gigabit network may be more than a user needs today, but Christoph Caselitz, president of the mobile networks division at the firm says that: ""By the time the next generation of mobile communication debuts in 2015, the need for transmission capacities for voice, data, image and multimedia is conservatively anticipated to rise by a factor of 10.""",unknown
Scissor Sisters,Musician,"Top gig award for Scissor Sisters

New York band Scissor Sisters have won a gig of the year award for their performance at this year's V Festival.

",unknown
Virgin Radio,Musician,"Virgin Radio DJ Pete Mitchell said: ""This year has seen an amazing array of talent come into the mainstream.""",unknown
Pete Mitchell,Musician,"Virgin Radio DJ Pete Mitchell said: ""This year has seen an amazing array of talent come into the mainstream.""",unknown
David Bowie,Musician,"Music veterans The Who and David Bowie, both earned places on the list, at number eight and 10 respectively.",unknown
Chris Martin,Musician,"At number seven was Oxfam's Make Fair Trade gig at London's Hammersmith Apollo in October, which featured performances by REM, Razorlight and Coldplay's Chris Martin.",unknown
Glasgow,Musician,Glasgow's Franz Ferdinand earned a place at number nine for their home-town performance in April.,unknown
Stanley Fischer,Business Executive,"Stanley Fischer, vice chairman of banking giant Citigroup, has agreed to take the Bank of Israel job subject to approval from parliament and cabinet.",unknown
Ariel Sharon,Politician,"His nomination by Prime Minister Ariel Sharon came as a surprise, and led to gains on the Tel Aviv stock market.",unknown
Fischer,Author,"Mr Fischer, who speaks fluent Hebrew, will have to become an Israeli citizen to take the job.",unknown
David Klein,Author,"Previous incumbent David Klein, who often argued with the Finance Ministry, steps down on 16 January.",unknown
Fischer,Politician,"Mr Fischer will face a delicate balancing act - both in political and economic terms - between Mr Sharon and finance minister Binyamin Netanyahu, who also backed his nomination.",unknown
Sharon,Politician,"Mr Fischer will face a delicate balancing act - both in political and economic terms - between Mr Sharon and finance minister Binyamin Netanyahu, who also backed his nomination.",unknown
Binyamin Netanyahu,Politician,"Mr Fischer will face a delicate balancing act - both in political and economic terms - between Mr Sharon and finance minister Binyamin Netanyahu, who also backed his nomination.",unknown
Mr Fischer,Author,In 1983 Mr Fischer became adviser on Israel's economy to then-US secretary of state George Shultz.,unknown
George Shultz,Author,In 1983 Mr Fischer became adviser on Israel's economy to then-US secretary of state George Shultz.,unknown
Alan Beith,Author,"Committee chairman Alan Beith said: ""The DCA has had four years to prepare for freedom of information, but with less than a month to go it appears that some bodies may not be well enough prepared.",unknown
Argonaut,Author,"Argonaut founder rebuilds empire

Jez San, the man behind the Argonaut games group which went into administration a week ago, has bought back most of the company.

",unknown
Jez San,Author,Jez San is one of the key figures in the UK's games industry.,unknown
Argonaut,Author,He founded Argonaut in 1982 and has been behind titles such as 1993 Starfox game.,unknown
Harry Potter,Author,More recently it was behind the Harry Potter games for the PlayStation.,unknown
Argonaut,Author,"But, like all software developers, Argonaut needed a constant flow of deals with publishers.",unknown
San,Author,"Mr San has re-emerged, buying back Morpheme and Just Add Monsters.",unknown
Morpheme,Author,"Mr San has re-emerged, buying back Morpheme and Just Add Monsters.",unknown
David Rubin,Author,"""We are pleased to announce the sale of these two businesses as going concerns,"" said David Rubin of administrators David Rubin & Partners.",unknown
David Rubin & Partners,Author,"""We are pleased to announce the sale of these two businesses as going concerns,"" said David Rubin of administrators David Rubin & Partners.",unknown
Rubin,Business Executive,Mr Rubin said the administrators were in talks over the sale of the Argonaut software division in Edgware and were hopeful of finding a buyer.,unknown
Ozzy,Musician,"Police praise 'courageous' Ozzy

Rock star Ozzy Osbourne has been praised by police for ""very courageously"" tackling a burglar who stole jewellery from his house.

",unknown
Ozzy Osbourne,Musician,"Police praise 'courageous' Ozzy

Rock star Ozzy Osbourne has been praised by police for ""very courageously"" tackling a burglar who stole jewellery from his house.

",unknown
Osbourne,Author,"""I acted on impulse,"" Osbourne said.",unknown
Sharon,Author,"His wife Sharon, who called the police, said her wedding rings were taken from her bedside table as she slept.

",unknown
George Harrison,Musician,"The heavy metal star said he could have met the same fate as late Beatle George Harrison, who was repeatedly stabbed in a break-in in 1999.",unknown
Osbourne,Author,"""I could have been badly injured or shot or anything,"" Osbourne said.",unknown
St Peter,Author,The incident happened at 0400 GMT on Monday in Chalfont St Peter.,unknown
Paul Miller,Author,Detective Inspector Paul Miller of Thames Valley Police said it appeared a man used a ladder to get into the house through a first floor bedroom window.,unknown
Ozzy,Author,"""Whilst selecting items of jewellery, the burglar was disturbed by Ozzy who very courageously tackled this burglar and pursued him from the house,"" he said.",unknown
Ozzy,Author,"Ozzy said he was ""just coming to grips"" with what had happened and his opinion of the UK had been lowered after 12 relatively trouble-free years in the US.

",unknown
Sharon Osbourne,TV Personality,"At a press conference on Tuesday, Sharon Osbourne gave details of nine stolen items.",unknown
Ozzy,Author,They included a diamond wedding ring and two handmade wedding bands Ozzy gave her when they renewed their vows two years ago.,unknown
Sharon,Author,"Also taken were a pearl necklace and a sapphire bought as an investment for their daughters described by Sharon as ""one of the only 24-carat sapphires that is absolutely pure"".

",unknown
Sharon,Author,A daisy chain necklace that was a 20th anniversary present and a Franck Muller watch Sharon said was one of only 10 made were also stolen.,unknown
Ozzy,Musician,"Ozzy came from not a very nice part of Birmingham and everything we've got we have worked our arses off for.""",unknown
Ozzy,Author,"Ozzy also lamented two years in which the family has been plagued by problems, including his critical injury in a quad bike accident, his wife's colon cancer, their childrens' drug problems and now the burglary.

",unknown
Elton John's,Musician,"On Sunday night, the Osbournes had been celebrating the birthday of singer Sir Elton John's partner David Furnish.",unknown
David Furnish,Musician,"On Sunday night, the Osbournes had been celebrating the birthday of singer Sir Elton John's partner David Furnish.",unknown
Chalfont St Peter,Author,"Police think the pair were driving a large vehicle, possibly a van, and are keen to hear from anyone who may have seen one leaving Chalfont St Peter at speed.",unknown
Viktor Yushchenko,Politician,"The new President, Viktor Yushchenko, has said a ""limited"" list of companies is being drawn up.",unknown
Yulia Tymoshenko,Politician,"But on Wednesday Prime Minister Yulia Tymoshenko said the government was planning to renationalise 3,000 firms.",unknown
Ms Tymoshenko,Author,"Ms Tymoshenko said prosecutors had drawn up a list of more than 3,000 businesses which were to be reviewed.",unknown
Yushchenko,Author,"""

A day earlier, Mr Yushchenko - keen to reassure potential investors - had said only 30 to 40 top firms would be targeted.",unknown
Stuart Hensel,Author,"An open-ended list could further damage outside investors' fragile faith in Ukraine, said Stuart Hensel of the Economist Intelligence Unit.",unknown
Hensel,Author,"But the government seemed keen not to make the review look like the kind of wholesale renationalisation which many fear in Russia, Mr Hensel said.",unknown
Yushchenko,Author,"Mr Yushchenko became president after two elections in December, the first of which was annulled amid allegations of voting irregularities and massive street protests.

",unknown
Viktor Yanukovich,Author,"His opponent, Viktor Yanukovich, still has huge support in the country's eastern industrial heartland.",unknown
Yushchenko,Author,"Mr Yushchenko's administration has accused its predecessor, led by ex-President Leonid Kuchma, of corruption.",unknown
Leonid Kuchma,Author,"Mr Yushchenko's administration has accused its predecessor, led by ex-President Leonid Kuchma, of corruption.",unknown
Kuchma,Author,"The privatisation review's number one target is a steel mill sold to a consortium which included Viktor Pinchuk, Mr Kuchma's son-in-law, for $800m (Â£424m) despite higher bids from several foreign groups.",unknown
Yushchenko,Politician,"""We say Krivorizhstal was stolen, and at any cost we will return it to the state,"" Mr Yushchenko told an investors' conference in Kiev.

One of the jilted bidders, Netherlands-based group LNM, said it welcomed the possibility that the mill might be back on the market.

",unknown
Hensel,Author,"A resale of Krivorizhstal could potentially triple the price, according to the Economist Intelligence Unit's Mr Hensel.",unknown
Yushchenko,Politician,"""That way, Mr Yushchenko can go to the public and say he has forced the oligarchs to play by the rules,"" he told BBC News.",unknown
Oliver Irish,Author,"With Apple's iPod topping wish lists again, there may not be enough iPod minis to go round, predicts Oliver Irish, editor of gadget magazine Stuff.",unknown
Stuff,Author,"For anyone bewildered by the choice of gadgets on the market, Stuff and What Hi-Fi? are hosting a best-of gadget show in London this weekend.",unknown
Qrio Robot,Musician,"Star of the show will be Sony's Qrio Robot, an all-singing, all-dancing, football-playing man-machine who can even hold intelligent conversations.

",unknown
Irish,Author,"He probably has his own airplane seat, that is how highly Sony prize him,"" said Mr Irish.",unknown
Irish,Author,"Suggestions that it could be a gaming or wireless Christmas are unlikely to come true as MP3 players remain the most popular stocking filler, said Mr Irish.",unknown
GPRS,Author,"For those who like their gadgets to be multi-talented, the Gizmondo, a powerful gaming console with GPS and GPRS, that also doubles up as an MP3 player, movie player and camera, could be a must-have.",unknown
Irish,Author,"""What is impressive is how much it can do and how well it can do them,"" said Mr Irish.",unknown
Irish,Author,"""Women will be getting gadgets from husbands and boyfriends as well as buying them for themselves,"" said Mr Irish.",unknown
Patricia Sanders,Author,"Patricia Sanders, spokeswoman for the Disaster Emergency Committee said it was aware of the site and had contacted the Computer Crime Unit at Scotland Yard to help get it shut down.",unknown
Ms Sanders,Author,"Ms Sanders said DEC had contacted US net registrars who handle domain ownership and the net hosting firm that is keeping the site on the web.

DEC was going to push for all cash donated via the site to be handed over to the official organisation.",unknown
Ms Sanders,Author,Ms Sanders said sending out spam e-mail to solicit donations was not DEC's style and that it would never canvass support in this way.,unknown
Outlook,Author,Another tsunami-related e-mail is also circulating that carries the Zar worm which tries to spread via the familiar route of Microsoft's Outlook e-mail program.,unknown
Joshua Reynolds',Author,"Public show for Reynolds portrait

Sir Joshua Reynolds' Portrait of Omai will get a public airing following fears it would stay hidden because of an export wrangle.

",unknown
Joshua Reynolds,Musician,Joshua Reynolds:,unknown
Joshua,Author,"Sir Joshua painted him after his arrival in 1774, and it became the artist's most famous work after it was first exhibited at the Royal Academy in 1776.",unknown
Howard,Politician,"Howard 'truanted to play snooker'

Conservative leader Michael Howard has admitted he used to play truant to spend time with his school friends at a snooker hall.

",unknown
Michael Howard,Politician,"Howard 'truanted to play snooker'

Conservative leader Michael Howard has admitted he used to play truant to spend time with his school friends at a snooker hall.

",unknown
Howard,Author,"Mr Howard said his time at Jack's Snooker Hall in Llanelli in the 1950s had not done him ""any lasting damage"".",unknown
Howard,Author,"Mr Howard also called for a return to O-levels and more classroom discipline.

",unknown
Howard,Author,Mr Howard eventually left Llanelli Grammar School - and the snooker hall - to go to Cambridge University.,unknown
Tony Meo,Author,"""Tony Meo [another player] and me used to spend all of our spare time there,"" Mr White said, ""We loved the game and the atmosphere.",unknown
Howard,Author,"Mr Howard's fellow Welshman Ray Reardon - known by his fellow professionals as ""Dracula"" - won the snooker world championship six times, having left school at 14 to work as a miner.",unknown
Welshman Ray Reardon,Author,"Mr Howard's fellow Welshman Ray Reardon - known by his fellow professionals as ""Dracula"" - won the snooker world championship six times, having left school at 14 to work as a miner.",unknown
"Dracula"" - won",Author,"Mr Howard's fellow Welshman Ray Reardon - known by his fellow professionals as ""Dracula"" - won the snooker world championship six times, having left school at 14 to work as a miner.",unknown
Terry Griffiths,Musician,"And Terry Griffiths, like Mr Howard from Llanelli, won the tournament in 1979.",unknown
Howard,Musician,"And Terry Griffiths, like Mr Howard from Llanelli, won the tournament in 1979.",unknown
Daniela Hantuchova,Author,Daniela Hantuchova defeated Michaella Krajicek 6-4 6-2 to give the Slovaks the perfect start before Dutchman Peter Wessels retired against Dominik Hrbaty.,unknown
Michaella Krajicek,Author,Daniela Hantuchova defeated Michaella Krajicek 6-4 6-2 to give the Slovaks the perfect start before Dutchman Peter Wessels retired against Dominik Hrbaty.,unknown
Dutchman Peter Wessels,Author,Daniela Hantuchova defeated Michaella Krajicek 6-4 6-2 to give the Slovaks the perfect start before Dutchman Peter Wessels retired against Dominik Hrbaty.,unknown
Meghann Shaughnessy,Author,"In the other Group B match, the United States defeated Australia 2-1.

Meghann Shaughnessy lost the opening match against Alicia Molik but James Blake levelled the tie with a 6-3 6-4 win over Paul Baccanello, who came in as a replacement for the injured Mark Philippoussis.",unknown
Alicia Molik,Author,"In the other Group B match, the United States defeated Australia 2-1.

Meghann Shaughnessy lost the opening match against Alicia Molik but James Blake levelled the tie with a 6-3 6-4 win over Paul Baccanello, who came in as a replacement for the injured Mark Philippoussis.",unknown
James Blake,Author,"In the other Group B match, the United States defeated Australia 2-1.

Meghann Shaughnessy lost the opening match against Alicia Molik but James Blake levelled the tie with a 6-3 6-4 win over Paul Baccanello, who came in as a replacement for the injured Mark Philippoussis.",unknown
Paul Baccanello,Author,"In the other Group B match, the United States defeated Australia 2-1.

Meghann Shaughnessy lost the opening match against Alicia Molik but James Blake levelled the tie with a 6-3 6-4 win over Paul Baccanello, who came in as a replacement for the injured Mark Philippoussis.",unknown
Mark Philippoussis,Author,"In the other Group B match, the United States defeated Australia 2-1.

Meghann Shaughnessy lost the opening match against Alicia Molik but James Blake levelled the tie with a 6-3 6-4 win over Paul Baccanello, who came in as a replacement for the injured Mark Philippoussis.",unknown
Blake,Author,Blake and Shaughnessy then beat Molik and Baccanello in a tense mixed doubles contest to take the win.,unknown
Shaughnessy,Author,Blake and Shaughnessy then beat Molik and Baccanello in a tense mixed doubles contest to take the win.,unknown
Molik,Author,Blake and Shaughnessy then beat Molik and Baccanello in a tense mixed doubles contest to take the win.,unknown
Hantuchova,Author,"Hantuchova, who did not win a Hopman Cup singles match in 2004, has been in good form during this year's event and has won two of her three matches.",unknown
Ellen Simonetti,Author,"Queen of the Sky, otherwise known as Ellen Simonetti, evolved into an anonymous semi-fictional account of life in the sky.",unknown
Ms Simonetti,Author,"Ms Simonetti was told her suspension was a result of ""inappropriate"" images.",unknown
Ms Simonetti,Author,"""I was really shocked, I had no warning,"" Ms Simonetti told BBC News Online.",unknown
Ms Simonetti,Author,Ms Simonetti was suspended on 25 September pending an investigation and has since lodged a complaint with the US Equal Employment Opportunity Commission (EEOC).,unknown
Ms Simonetti,Author,Ms Simonetti started her personal blog in January to help her get over her mother's death.,unknown
Ms Simonetti,Author,"A large part of the blog contained fictional stories because Queen of the Sky developed over the months as a character in her own right, according to Ms Simonetti.

",unknown
Ms Simonetti,Author,"""I never meant it as something to harm my company and don't understand how they think it did harm them,"" Ms Simonetti said.",unknown
Ms Simonetti's,Author,"Of the 10 or so images on the site, only one showed Ms Simonetti's flight ""wings"".",unknown
Ms Simonetti,Author,"As far as Ms Simonetti knows, there is no company anti-blogging policy.",unknown
Jeffrey Matsuura,Author,"Jeffrey Matsuura, director of the law and technology programme at the University of Dayton, said personal websites can be hazardous for both employers and their employees.",unknown
Matsuura,Author,Mr Matsuura added that some companies actively encouraged employees to blog.,unknown
Ms Simonetti,Author,He speculated that Delta might be concerned that the fictional content on the blog may be linked back to the airline after the images of Ms Simonetti in uniform were posted.,unknown
Ms Simonetti,Author,Ms Simonetti said her suspension has caused two of her friends to discontinue their blogs.,unknown
Oscar,Author,"Aviator 'creator' in Oscars snub

The man who said he got Oscar-nominated movie The Aviator off the ground and signed up Leonardo DiCaprio has been shut out of the Academy Awards race.

",unknown
Leonardo DiCaprio,Author,"Aviator 'creator' in Oscars snub

The man who said he got Oscar-nominated movie The Aviator off the ground and signed up Leonardo DiCaprio has been shut out of the Academy Awards race.

",unknown
Charles Evans Jr,Film Actor,"Charles Evans Jr battled over his role with the people who eventually made the film, and won a producer's credit.",unknown
Ampas,Author,Up to three producers can be named per film but the studios behind The Aviator and Million Dollar Baby failed to trim their credits - so the Academy of Motion Pictures Arts and Sciences (Ampas) has done it for them.,unknown
Michael Mann,Author,"The Aviator's nominated producers are Michael Mann and Graham King - with Mr Evans and Sandy Climan, Mr Mann's former deputy, left off.",unknown
Graham King,Author,"The Aviator's nominated producers are Michael Mann and Graham King - with Mr Evans and Sandy Climan, Mr Mann's former deputy, left off.",unknown
Evans,Author,"The Aviator's nominated producers are Michael Mann and Graham King - with Mr Evans and Sandy Climan, Mr Mann's former deputy, left off.",unknown
Sandy Climan,Author,"The Aviator's nominated producers are Michael Mann and Graham King - with Mr Evans and Sandy Climan, Mr Mann's former deputy, left off.",unknown
Mann,Author,"The Aviator's nominated producers are Michael Mann and Graham King - with Mr Evans and Sandy Climan, Mr Mann's former deputy, left off.",unknown
Evans,Author,"Mr Evans sued Mr Mann in 2001, claiming he came up with the idea, spent years developing it and persuaded DiCaprio to play Hughes - but said he was later excluded from the project.",unknown
Mann,Author,"Mr Evans sued Mr Mann in 2001, claiming he came up with the idea, spent years developing it and persuaded DiCaprio to play Hughes - but said he was later excluded from the project.",unknown
DiCaprio,Author,"Mr Evans sued Mr Mann in 2001, claiming he came up with the idea, spent years developing it and persuaded DiCaprio to play Hughes - but said he was later excluded from the project.",unknown
Evans,Author,The two sides settled out of court in a deal that has remained secret apart from the fact Mr Evans' name has appeared as a producer when the film's credits roll.,unknown
Evans,Film Actor,"At the Golden Globes, Mr Evans - who was named among the winners when the film won best drama film - evaded a security guard to have his photo taken with DiCaprio, director Martin Scorsese, Mr Mann and Mr King.

",unknown
Martin Scorsese,Film Actor,"At the Golden Globes, Mr Evans - who was named among the winners when the film won best drama film - evaded a security guard to have his photo taken with DiCaprio, director Martin Scorsese, Mr Mann and Mr King.

",unknown
Mann,Film Actor,"At the Golden Globes, Mr Evans - who was named among the winners when the film won best drama film - evaded a security guard to have his photo taken with DiCaprio, director Martin Scorsese, Mr Mann and Mr King.

",unknown
Mr King,Film Actor,"At the Golden Globes, Mr Evans - who was named among the winners when the film won best drama film - evaded a security guard to have his photo taken with DiCaprio, director Martin Scorsese, Mr Mann and Mr King.

",unknown
Ampas,Author,Ampas decided to limit the number of producers who could be nominated after Shakespeare in Love's victory in 1999 saw five producers collect awards.,unknown
Shakespeare,Author,Ampas decided to limit the number of producers who could be nominated after Shakespeare in Love's victory in 1999 saw five producers collect awards.,unknown
Ampas,Film Actor,The eligible names for The Aviator and Million Dollar Baby were decided by Ampas' producers branch executive committee on Wednesday.,unknown
Ziyi Zhang,TV Personality,"Chinese actress Ziyi Zhang, star of Crouching Tiger, Hidden Dragon, Hero and House of Flying Daggers, is the latest name to be added to the list of presenters on the night.",unknown
Hidden Dragon,TV Personality,"Chinese actress Ziyi Zhang, star of Crouching Tiger, Hidden Dragon, Hero and House of Flying Daggers, is the latest name to be added to the list of presenters on the night.",unknown
Mike Ruddock,Author,"Wales make two changes for France

Wales coach Mike Ruddock has made two changes from the team that beat Italy 38-8 for Saturday's trip to France.

",unknown
Kevin Morgan,Author,Kevin Morgan takes over from his injured Newport-Gwent Dragons colleague Hal Luscombe on the right wing.,unknown
Hal Luscombe,Author,Kevin Morgan takes over from his injured Newport-Gwent Dragons colleague Hal Luscombe on the right wing.,unknown
Ryan Jones,Author,And in the pack Neath-Swansea Ospreys forward Ryan Jones is preferred at blindside flanker to Jonathan Thomas.,unknown
Jonathan Thomas,Author,And in the pack Neath-Swansea Ospreys forward Ryan Jones is preferred at blindside flanker to Jonathan Thomas.,unknown
Thomas,Author,"Thomas, a try-scorer in Rome, drops down to the bench instead of Ian Gough, while Cardiff back Rhys Williams steps up in place of Morgan.",unknown
Ian Gough,Author,"Thomas, a try-scorer in Rome, drops down to the bench instead of Ian Gough, while Cardiff back Rhys Williams steps up in place of Morgan.",unknown
Rhys Williams,Author,"Thomas, a try-scorer in Rome, drops down to the bench instead of Ian Gough, while Cardiff back Rhys Williams steps up in place of Morgan.",unknown
Morgan,Author,"Thomas, a try-scorer in Rome, drops down to the bench instead of Ian Gough, while Cardiff back Rhys Williams steps up in place of Morgan.",unknown
Morgan,Author,"However, the experienced and in-form Morgan was already pushing hard for a start at Stade de France.",unknown
Kevin,Author,"""Due to his impressive performances from the bench, Kevin was very much in the selection mix anyway, and the unfortunate injury to Hal gives him the chance to start,"" said Ruddock.",unknown
Ruddock,Author,"""Due to his impressive performances from the bench, Kevin was very much in the selection mix anyway, and the unfortunate injury to Hal gives him the chance to start,"" said Ruddock.",unknown
Ryan Jones,Author,"""Now that Ryan Jones has recovered from injury, we have increased the options in the back row.",unknown
Jonathan Thomas,Author,"""Jonathan Thomas is unlucky to lose his spot after performing well against Italy and scoring a try, but such is the competition for places that every position is debated in detail.",unknown
Jonathan,Author,"""Obviously, it's a 22-man game these days, and there is every chance that Jonathan will be making an impact from the bench.""",unknown
Graham Henry,Author,"""Graham Henry (former Wales coach) said a couple of years ago that we should 'be bold' when going to France, and he was proved right,"" said Ruddock.",unknown
Ruddock,Author,"""Graham Henry (former Wales coach) said a couple of years ago that we should 'be bold' when going to France, and he was proved right,"" said Ruddock.",unknown
G Henson (Neath-Swansea,Author,"""

G Thomas (Toulouse, capt); K Morgan (Newport-Gwent), T Shanklin (Cardiff), G Henson (Neath-Swansea), S Williams (Neath-Swansea); S Jones (Clermont Auvergne), D Peel (Llanelli); G Jenkins (Cardiff), M Davies (Gloucester), A Jones; (Neath-Swansea), B Cockbain (Neath-Swansea), R Sidoli (Cardiff); R Jones (Neath-Swansea), M Williams (Cardiff), M Owen (Newport-Gwent).

",unknown
S Williams,Author,"""

G Thomas (Toulouse, capt); K Morgan (Newport-Gwent), T Shanklin (Cardiff), G Henson (Neath-Swansea), S Williams (Neath-Swansea); S Jones (Clermont Auvergne), D Peel (Llanelli); G Jenkins (Cardiff), M Davies (Gloucester), A Jones; (Neath-Swansea), B Cockbain (Neath-Swansea), R Sidoli (Cardiff); R Jones (Neath-Swansea), M Williams (Cardiff), M Owen (Newport-Gwent).

",unknown
Gloucester,Author,"""

G Thomas (Toulouse, capt); K Morgan (Newport-Gwent), T Shanklin (Cardiff), G Henson (Neath-Swansea), S Williams (Neath-Swansea); S Jones (Clermont Auvergne), D Peel (Llanelli); G Jenkins (Cardiff), M Davies (Gloucester), A Jones; (Neath-Swansea), B Cockbain (Neath-Swansea), R Sidoli (Cardiff); R Jones (Neath-Swansea), M Williams (Cardiff), M Owen (Newport-Gwent).

",unknown
M Williams,Author,"""

G Thomas (Toulouse, capt); K Morgan (Newport-Gwent), T Shanklin (Cardiff), G Henson (Neath-Swansea), S Williams (Neath-Swansea); S Jones (Clermont Auvergne), D Peel (Llanelli); G Jenkins (Cardiff), M Davies (Gloucester), A Jones; (Neath-Swansea), B Cockbain (Neath-Swansea), R Sidoli (Cardiff); R Jones (Neath-Swansea), M Williams (Cardiff), M Owen (Newport-Gwent).

",unknown
M Owen,Author,"""

G Thomas (Toulouse, capt); K Morgan (Newport-Gwent), T Shanklin (Cardiff), G Henson (Neath-Swansea), S Williams (Neath-Swansea); S Jones (Clermont Auvergne), D Peel (Llanelli); G Jenkins (Cardiff), M Davies (Gloucester), A Jones; (Neath-Swansea), B Cockbain (Neath-Swansea), R Sidoli (Cardiff); R Jones (Neath-Swansea), M Williams (Cardiff), M Owen (Newport-Gwent).

",unknown
Llanelli,Author,"Replacements: R McBryde (Llanelli), J Yapp (Cardiff), J Thomas (Neath-Swansea), R Sowden-Taylor (Cardiff), G Cooper (Newport-Gwent), C Sweeney Newport-Gwent), R Williams (Cardiff).",unknown
Thomas,Author,"Replacements: R McBryde (Llanelli), J Yapp (Cardiff), J Thomas (Neath-Swansea), R Sowden-Taylor (Cardiff), G Cooper (Newport-Gwent), C Sweeney Newport-Gwent), R Williams (Cardiff).",unknown
